Date,Section,Title,Sentiment Score,Sentiment Interpretation,Web url
31/10/2024,US news,‘This is too serious to drown out’: six US voters on what they’re most anxious about,-0.9725,Negative,https://www.theguardian.com/us-news/2024/oct/31/voters-election-anxiety
31/10/2024,US news,US presidential election updates: Harris and Trump hit Wisconsin as data shows almost 60m Americans have voted,-0.9718,Negative,https://www.theguardian.com/us-news/2024/oct/31/us-presidential-election-2024-trump-harris-updates
31/10/2024,US news,Trump stages garbage truck stunt in bid to turn tables over Puerto Rico backlash,0.7968,Positive,https://www.theguardian.com/us-news/2024/oct/31/trump-puts-on-high-vis-vest-to-trash-bidens-garbage-gaffe-at-wisconsin-rally
31/10/2024,US news,Harris hails first-time and gen Z voters at Wisconsin rally: ‘I’m so proud of you’,0.9929,Positive,https://www.theguardian.com/us-news/2024/oct/30/kamala-harris-madison-rally
31/10/2024,US news,‘I feel robbed’: the millions of residents in US territories like Puerto Rico who can’t vote in presidential race,-0.6742,Negative,https://www.theguardian.com/us-news/2024/oct/31/us-election-puerto-rico-joe-biden-donald-trump-comedian-comments-voting
13/10/2024,US news,"Man arrested near Trump’s California rally with loaded guns, police say",-0.9784,Negative,https://www.theguardian.com/us-news/2024/oct/13/las-vegas-man-arrested-trump-assassination-attempt-coachella-california
13/10/2024,US news,"Harris and Trump, locked in tight race, seek edge among undecided voters",0.9939,Positive,https://www.theguardian.com/us-news/2024/oct/13/harris-trump-election-race-campaign
13/10/2024,US news,Joe Biden set to visit Germany to discuss Ukraine and Middle East,0.9592,Positive,https://www.theguardian.com/us-news/2024/oct/13/joe-biden-to-visit-germany-to-discuss-ukraine-and-middle-east
13/10/2024,US news,Gretchen Whitmer apologizes for feeding chip to podcaster after Catholic backlash,0.9623,Positive,https://www.theguardian.com/us-news/2024/oct/13/gretchen-whitmer-doritos-chip
13/10/2024,US news,Democrats on edge in critical Michigan amid fears of waning enthusiasm,0.9893,Positive,https://www.theguardian.com/us-news/2024/oct/13/democrats-michigan-saginaw-kamala-harris
13/10/2024,US news,How a Harris win in US election could depend on Democrats in London,0.9509,Positive,https://www.theguardian.com/us-news/2024/oct/13/how-kamala-harris-win-in-us-election-could-depend-on-democrats-in-london
13/10/2024,US news,‘He gives them the green light’: Trump’s rhetoric revives hate groups across US,-0.3788,Negative,https://www.theguardian.com/us-news/2024/oct/13/trump-anti-immigrant-racism-hate-white-supremacy-springfield
13/10/2024,US news,"‘Vengeful’ Trump withheld disaster aid and will do so again, ex-officials warn",-0.9983,Negative,https://www.theguardian.com/us-news/2024/oct/13/trump-disaster-funding-warning
13/10/2024,US news,Melania by Melania Trump review – a blame-dodging masterclass,-0.909,Negative,https://www.theguardian.com/us-news/2024/oct/13/melania-trump-memoir-review
13/10/2024,US news,US election briefing: Trump visits Coachella while Harris packs diapers in North Carolina,0.7741,Positive,https://www.theguardian.com/us-news/2024/oct/13/us-election-briefing-trump-visits-coachella-while-harris-packs-diapers-in-north-carolina
05/10/2024,US news,White House blasts false claims about Hurricane Helene and relief aid,-0.9967,Negative,https://www.theguardian.com/us-news/2024/oct/05/biden-urges-congress-helene-relief-funds
05/10/2024,US news,Former New York governor and stepson attacked and injured on city street,-0.9939,Negative,https://www.theguardian.com/us-news/2024/oct/05/david-paterson-new-york-attacked
05/10/2024,US news,Kim Kardashian urges California to reconsider Menendez brothers’ life sentences,-0.9988,Negative,https://www.theguardian.com/us-news/2024/oct/05/kim-kardashian-menendez-brothers
05/10/2024,US news,Private equity’s role in US healthcare remains unchecked after California veto,0.9781,Positive,https://www.theguardian.com/us-news/2024/oct/05/private-equity-healthcare-california-veto
05/10/2024,US news,"This swing county saw a job boom due to Biden. Yet, many union members still back Trump",0.9428,Positive,https://www.theguardian.com/us-news/2024/oct/05/biden-jobs-saginaw-michigan-trump-voters
05/10/2024,US news,Harris and Trump neck-and-neck in polls with early voting under way,0.9989,Positive,https://www.theguardian.com/us-news/2024/oct/05/kamala-harris-donald-trump-polls
05/10/2024,US news,‘Good girl and true hero’: dog saves owner by leading US officer to her home,0.9848,Positive,https://www.theguardian.com/us-news/2024/oct/05/gita-dog-saves-owner-washington
05/10/2024,US news,"Harsh terrain, extreme fatigue. Life as a wildland firefighter in a heatwave: ‘It’s not normal for humans’",-0.9955,Negative,https://www.theguardian.com/us-news/2024/oct/05/firefighters-battling-wildfires-extreme-heat-risk-of-injury
05/10/2024,US news,US dock workers ended strike – but dispute is not over yet,-0.5472,Negative,https://www.theguardian.com/us-news/2024/oct/05/us-dock-workers-ports-strike-dispute
05/10/2024,US news,Trump falsely touts endorsement from JP Morgan CEO Jamie Dimon,0.994,Positive,https://www.theguardian.com/us-news/2024/oct/04/trump-jamie-dimon-false-endorsement
17/10/2024,US news,US charges former Indian spy allegedly linked to foiled murder plot,-0.9969,Negative,https://www.theguardian.com/us-news/2024/oct/17/vikash-yadak-indian-spy-charged
17/10/2024,US news,NRA faces pressure to suspend CEO after revelation of sadistic cat killing,-0.991,Negative,https://www.theguardian.com/us-news/2024/oct/17/nra-ceo-douglas-hamlin-cat-murder
17/10/2024,US news,Secret Service needs ‘fundamental reform’ after Trump rally shooting,-0.9835,Negative,https://www.theguardian.com/us-news/2024/oct/17/secret-service-trump-assassination-attempt-report
17/10/2024,US news,US grants temporary protected status to Lebanese nationals amid Israel war,0.8591,Positive,https://www.theguardian.com/us-news/2024/oct/17/temporary-protected-status-lebanon-israel
17/10/2024,US news,Donald Trump takes his dance cue from Shrek | Brief letters,0.9562,Positive,https://www.theguardian.com/us-news/2024/oct/17/donald-trump-takes-his-dance-cue-from-shrek
17/10/2024,US news,Trump team says it will blacklist Project 2025 people in sign of plan’s toxicity,-0.9524,Negative,https://www.theguardian.com/us-news/2024/oct/17/trump-team-project-2025-banned-staffers
17/10/2024,US news,Great white shark found washed up on Massachusetts beach,0.802,Positive,https://www.theguardian.com/us-news/2024/oct/17/dead-great-white-shark-cape-cod
17/10/2024,US news,JD Vance falsely claims Donald Trump didn’t lose 2020 election,-0.8853,Negative,https://www.theguardian.com/us-news/2024/oct/17/jd-vance-trump-2020-election-lost
17/10/2024,US news,Lawsuits aim to prevent ‘illegal’ hiding of toxic chemicals by US regulators,-0.8402,Negative,https://www.theguardian.com/us-news/2024/oct/17/lawsuit-prevent-hiding-toxic-chemicals
17/10/2024,US news,‘Unlimited dollars’: how an Indiana hospital chain took over a region and jacked up prices,0.9987,Positive,https://www.theguardian.com/us-news/2024/oct/17/indiana-medical-debt-parkview-hospital
17/10/2024,US news,Tributes paid after Liam Payne dies falling from hotel balcony | First Thing,-0.9909,Negative,https://www.theguardian.com/us-news/2024/oct/17/first-thing-tributes-paid-after-liam-payne-dies-falling-from-hotel-balcony
17/10/2024,US news,New York officials call for big oil to be prosecuted for fueling climate disasters,-0.9984,Negative,https://www.theguardian.com/us-news/2024/oct/17/new-york-big-oil-fueling-climate-disasters
17/10/2024,US news,Trump stands by debunked claims immigrants are eating pets at event for Hispanic voters,-0.9331,Negative,https://www.theguardian.com/us-news/2024/oct/17/donald-trump-miami-town-hall-migrants-eating-pets-comments
17/10/2024,US news,US presidential election updates: Harris appeals to Republicans on Fox as Trump doubles down on pet eating claims,-0.9541,Negative,https://www.theguardian.com/us-news/2024/oct/17/us-presidential-election-trump-harris-updates
17/10/2024,US news,Key takeaways from Trump’s Miami town hall: former president faces questions on mass deportations,0.9521,Positive,https://www.theguardian.com/us-news/2024/oct/17/donald-trump-town-hall-miami-doral-immigration-border
17/10/2024,US news,"Key takeaways from Fox News interview: Harris grilled on immigration, the Middle East and Biden’s record ",-0.9717,Negative,https://www.theguardian.com/us-news/2024/oct/17/kamala-harris-fox-news-interview-key-takeaways
26/10/2024,US news,‘A lot of fun’: will Trump’s rambling Joe Rogan interview rally young men?,0.9846,Positive,https://www.theguardian.com/us-news/2024/oct/26/trump-joe-rogan-interview-analysis
26/10/2024,US news,These seven states will decide the election. Here’s what we learned reporting on the ground,0.9989,Positive,https://www.theguardian.com/us-news/2024/oct/26/swing-state-polls-pennsylvania-michigan-georgia-arizona-wisconsin-nevada-north-carolina
26/10/2024,US news,"Trump’s final pitch to voters: retribution vows, vulgar rallies, fascist accusations",-0.9759,Negative,https://www.theguardian.com/us-news/2024/oct/26/trump-campaign-election-retribution
26/10/2024,US news,"In Michigan, these US veterans call Trump ‘the devil’ – and phone-bank for Harris",-0.9997,Negative,https://www.theguardian.com/us-news/2024/oct/26/michigan-veterans-harris-phone-bank
26/10/2024,US news,Trump says on Joe Rogan podcast his biggest White House mistake was hiring ‘disloyal people’,0.4371,Positive,https://www.theguardian.com/us-news/2024/oct/26/trump-joe-rogan-podcast
26/10/2024,US news,Beyoncé brings star power to Harris rally in Texas with abortion law in the spotlight,0.3606,Positive,https://www.theguardian.com/us-news/2024/oct/26/beyonce-brings-star-power-to-harris-rally-in-texas-with-abortion-law-in-the-spotlight
26/10/2024,US news,Ohtani-mania: Los Angeles’s Little Tokyo is booming with baseball fans,0.9989,Positive,https://www.theguardian.com/us-news/2024/oct/26/dodgers-ohtani-little-tokyo-fans
26/10/2024,US news,"Some people with ADHD thrive in periods of stress, new study shows",0.9927,Positive,https://www.theguardian.com/us-news/2024/oct/26/adhd-symptoms-high-stress
26/10/2024,US news,Republicans make a play for Jewish voters in critical Pennsylvania,-0.9968,Negative,https://www.theguardian.com/us-news/2024/oct/26/republicans-pennsylvania-democrats-jewish-voters
26/10/2024,US news,Trial in subway killing of Jordan Neely to begin in New York,-0.9993,Negative,https://www.theguardian.com/us-news/2024/oct/26/trial-daniel-penny-killing-jordan-neely-new-york
26/10/2024,US news,The big lie 2.0: Trump plan to subvert 2024 election more organized than ever,-0.998,Negative,https://www.theguardian.com/us-news/2024/oct/26/trump-2024-election-subversion
26/10/2024,US news,How the Menéndez brothers’ case got to resentencing: ‘Paid their debt to society’,-0.9971,Negative,https://www.theguardian.com/us-news/2024/oct/26/erik-lyle-menendez-brothers-resentencting
26/10/2024,US news,"Democrats panicking for no reason, pollsters say – US race nail-bitingly close",0.9888,Positive,https://www.theguardian.com/us-news/2024/oct/26/presidential-election-polls-close
26/10/2024,US news,Republicans’ healthcare proposal if Trump wins? More private Medicare,0.989,Positive,https://www.theguardian.com/us-news/2024/oct/26/trump-republican-healthcare-plan-medicare
26/10/2024,US news,"US man, 75, has fatal heart attack while saving grandson from drowning",-0.8316,Negative,https://www.theguardian.com/us-news/2024/oct/26/alabama-man-died-saving-drowning-grandson
26/10/2024,US news,"If Trump wins the election, this is what’s at stake for US foreign policy",0.9623,Positive,https://www.theguardian.com/us-news/2024/oct/26/trump-presidency-foreign-policy-gaza-israel-ukraine
26/10/2024,US news,Democrats are scrambling to keep the Senate. Could an old-school bipartisan help save it?,0.9996,Positive,https://www.theguardian.com/us-news/2024/oct/26/jacky-rosen-nevada-democrat-senate
26/10/2024,US news,US presidential election updates: Joe Rogan and Beyoncé take centre stage as campaigns make final pitches,-0.9151,Negative,https://www.theguardian.com/us-news/2024/oct/26/us-presidential-election-updates-joe-rogan-and-beyonce-take-centre-stage-as-campaigns-make-final-pitches
26/10/2024,US news,‘It’s going to be tight’: Tim Walz rallies Pennsylvanians for final stretch in Biden’s home town,0.9943,Positive,https://www.theguardian.com/us-news/2024/oct/25/tim-walz-scranton-rally
03/10/2024,US news,US dock workers agree on deal with port operators to end strike,0.9838,Positive,https://www.theguardian.com/us-news/2024/oct/03/dock-workers-ports-strike-deal
03/10/2024,US news,LA district attorney to review new evidence in Menéndez brothers case,-0.9953,Negative,https://www.theguardian.com/us-news/2024/oct/03/menendez-brothers-los-angeles
03/10/2024,US news,Country music star Garth Brooks accused of sexual assault in civil lawsuit,-0.9993,Negative,https://www.theguardian.com/us-news/2024/oct/03/garth-brooks-sexual-assault-lawsuit
03/10/2024,US news,Trump repeats broken 2016 vow to make Michigan ‘car capital of world again’ at campaign rally,-0.7862,Negative,https://www.theguardian.com/us-news/2024/oct/03/donald-trump-michigan-rally-car-industry
03/10/2024,US news,Three Memphis ex-police officers convicted of least serious charge in Tyre Nichols’ killing,-0.9994,Negative,https://www.theguardian.com/us-news/2024/oct/03/tyre-nichols-verdict-police-officers-memphis
03/10/2024,US news,Major US firefighter union declines to endorse Trump or Harris for president,0.9468,Positive,https://www.theguardian.com/us-news/2024/oct/03/election-fire-union-trump-harris
03/10/2024,US news,Republican former election clerk jailed for nine years over voter interference,-0.9821,Negative,https://www.theguardian.com/us-news/2024/oct/03/tina-peters-election-colorado
03/10/2024,US news,What is Melania Trump’s game in suddenly defending abortion rights?,0.9897,Positive,https://www.theguardian.com/us-news/2024/oct/03/melania-trump-abortion
03/10/2024,US news,Melania Trump passionately defends abortion rights in upcoming memoir,0.6291,Positive,https://www.theguardian.com/us-news/2024/oct/02/melania-trump-memoir-defends-abortion-rights
03/10/2024,US news,‘We need ’em worse than they need us’: how Haitian workers feed the US,-0.9857,Negative,https://www.theguardian.com/us-news/2024/oct/03/haitian-farm-workers-north-carolina
03/10/2024,US news,How bad will flooding get by 2100? These AI images show US destinations underwater,0.9383,Positive,https://www.theguardian.com/us-news/2024/oct/03/flooding-us-cities-2100
03/10/2024,US news,Hurricane devastation could disrupt voting in swing state of North Carolina,-0.9465,Negative,https://www.theguardian.com/us-news/2024/oct/03/hurricane-helene-north-carolina-voting
03/10/2024,US news,Trump January 6 case: five key points in the latest filing against former president,-0.6722,Negative,https://www.theguardian.com/us-news/2024/oct/03/trump-january-6-court-filing
03/10/2024,US news,‘I am going to die’: North Dakota teen in runaway vehicle saved by crashing into police car,0.1154,Positive,https://www.theguardian.com/us-news/2024/oct/03/north-dakota-teen-speeding-police-crash
03/10/2024,US news,Giuliani’s attempts to overturn 2020 election partly thwarted by wrong number,-0.9539,Negative,https://www.theguardian.com/us-news/2024/oct/03/rudy-giuliani-michigan-fake-electors-text
03/10/2024,US news,Republicans’ non-citizen voting myth sets stage to claim stolen election,-0.9968,Negative,https://www.theguardian.com/us-news/2024/oct/03/trump-republicans-non-citizen-voters-myth-stolen-election
03/10/2024,US news,Melania Trump says she forced Donald to drop hardline immigration policy,-0.9367,Negative,https://www.theguardian.com/us-news/2024/oct/03/melania-trump-donald-immigration-jacket-slogan-book
03/10/2024,US news,Six people killed in Israeli strike on central Beirut as 1.2 million in Lebanon displaced by invasion | First Thing,-0.9959,Negative,https://www.theguardian.com/us-news/2024/oct/03/first-thing-six-people-killed-in-israeli-strike-on-central-beirut-as-12-million-in-lebanon-displaced-by-invasion
03/10/2024,US news,US breast cancer deaths fall but younger women increasingly diagnosed – study,-0.9992,Negative,https://www.theguardian.com/us-news/2024/oct/03/us-breast-cancer-rates
03/10/2024,US news,Striking US port workers sound resolute note: ‘This is for our future generations’,0.9618,Positive,https://www.theguardian.com/us-news/2024/oct/03/port-workers-strike-pay-automation
03/10/2024,US news,Anti-Muslim hate in US rises since 7 October but advocates praise community resilience,-0.9991,Negative,https://www.theguardian.com/us-news/2024/oct/03/october-7-israel-gaza-islamophobia
03/10/2024,US news,"‘People are giving, sharing’: Augusta comes together as Kamala Harris surveys damage",-0.5719,Negative,https://www.theguardian.com/us-news/2024/oct/03/kamala-harris-augusta-georgia-hurricane-helene
03/10/2024,US news,Melania Trump’s abortion views baffle both sides: ‘Hard to follow the logic’,-0.3643,Negative,https://www.theguardian.com/us-news/2024/oct/02/melania-trump-abortion-views-revelation-reaction
04/10/2024,US news,Biden issues terse words to Netanyahu over peace deal and election influence,-0.9779,Negative,https://www.theguardian.com/us-news/2024/oct/04/biden-netanyahu-peace-deal-election-influence
04/10/2024,US news,Allergy warnings as Hurricane Helene disturbs wasps’ nests,-0.9868,Negative,https://www.theguardian.com/us-news/2024/oct/04/hurricane-helene-wasps
04/10/2024,US news,Hurricane Helene conspiracy theories collide with election misinformation,-0.9891,Negative,https://www.theguardian.com/us-news/2024/oct/04/hurricane-helene-conspiracy-theories-election-misinformation
04/10/2024,US news,US supreme court will rule on $10bn suit Mexico filed against US gun makers,-0.9931,Negative,https://www.theguardian.com/us-news/2024/oct/04/mexico-gun-makers-lawsuit-supreme-court
04/10/2024,US news,Elon Musk says he will attend Trump rally at Pennsylvania shooting site,-0.8636,Negative,https://www.theguardian.com/us-news/2024/oct/04/elon-musk-trump-pennsylvania-rally
04/10/2024,US news,‘Slick talker’ v ‘sincere and truthful’: swing-state voters respond to VP debate,0.9992,Positive,https://www.theguardian.com/us-news/2024/oct/04/vice-presidential-debate-guardian-readers-respond
04/10/2024,US news,"Fema doesn’t have funding through hurricane season, warns Mayorkas",-0.9922,Negative,https://www.theguardian.com/us-news/2024/oct/04/fema-funding-hurricane-season
04/10/2024,US news,Marco Rubio-linked thinktank produces anti-LGBTQ+ conspiracy theory videos,-0.9993,Negative,https://www.theguardian.com/us-news/2024/oct/04/marco-rubio-thinktank-conspiracy-theories
04/10/2024,US news,‘Unprecedented’ decline in US drug overdose deaths gives experts hope,0.6919,Positive,https://www.theguardian.com/us-news/2024/oct/04/overdose-deaths-decline
04/10/2024,US news,Israeli strikes hit Beirut as key route out of Lebanon cut off | First Thing,-0.9988,Negative,https://www.theguardian.com/us-news/2024/oct/04/first-thing-israeli-strikes-hit-beirut-key-route-lebanon-cut-off
04/10/2024,US news,"Exported gas produces far worse emissions than coal, major study finds",-0.962,Negative,https://www.theguardian.com/us-news/2024/oct/04/exported-liquefied-natural-gas-coal-study
04/10/2024,US news,End of fluoridation of US water could be in sight after federal court ruling,0.9758,Positive,https://www.theguardian.com/us-news/2024/oct/04/fluoridation-water-epa-risk-assessement
04/10/2024,US news,Involuntary servitude still exists in California. A ballot measure in November could change that,-0.9969,Negative,https://www.theguardian.com/us-news/2024/oct/04/california-prop-6-prison-slavery-election
04/10/2024,US news,Donald Trump’s foul-mouthed migrant rant captured in private pitch to donors,0.9166,Positive,https://www.theguardian.com/us-news/2024/oct/04/trump-fundraiser-recording
04/10/2024,US news,Barack Obama to campaign for Harris across battleground states next week,-0.98,Negative,https://www.theguardian.com/us-news/2024/oct/04/us-election-barack-obama-kamala-harris-campaign-pennsylvania-rally
04/10/2024,US news,The US election is on a knife edge. My trip to Georgia showed how easily it could end in tragedy | Oliver Laughland,-0.9808,Negative,https://www.theguardian.com/us-news/commentisfree/2024/oct/04/the-us-election-is-on-a-knife-edge-my-trip-to-georgia-showed-how-easily-it-could-end-in-tragedy
04/10/2024,US news,Florida man rescues neighbors on surfboard after Helene floods island city,0.9927,Positive,https://www.theguardian.com/us-news/2024/oct/04/florida-surfer-rescues-neighbors-hurricane-helene
04/10/2024,US news,Tim Walz to Muslim voters in push before election: ‘Our hearts are broken’,0.936,Positive,https://www.theguardian.com/us-news/2024/oct/03/tim-walz-muslim-voters
04/10/2024,US news,Liz Cheney campaigns with Harris and urges voters to reject Trump’s ‘cruelty’,0.9888,Positive,https://www.theguardian.com/us-news/2024/oct/03/liz-cheney-kamala-harris-wisconsin
04/10/2024,US news,‘No room for compromise’: Melania Trump reiterates abortion rights support,0.987,Positive,https://www.theguardian.com/us-news/2024/oct/03/melania-trump-memoir-abortion
04/10/2024,US news,Hurricane Helene: more than 200 dead as search for missing people continues,-0.988,Negative,https://www.theguardian.com/us-news/2024/oct/03/hurricane-helene-death-toll-power-outages
20/10/2024,US news,Kamala Harris visits church on birthday as Trump repeats ‘enemy within’ rhetoric,-0.9545,Negative,https://www.theguardian.com/us-news/2024/oct/20/kamala-harris-campaigns-trump-arnold-palmer
20/10/2024,US news,US investigates leaked documents alleging Israel plans to attack Iran,-0.9873,Negative,https://www.theguardian.com/us-news/2024/oct/20/leaked-documents-allege-israel-plans-attack-iran
20/10/2024,US news,Shooting at university in Georgia leaves one person dead and five wounded,-0.9651,Negative,https://www.theguardian.com/us-news/2024/oct/20/shooting-georgia-albany-state-university
20/10/2024,US news,North Carolina grapples with holding election in hurricane disaster zone,-0.9959,Negative,https://www.theguardian.com/us-news/2024/oct/20/north-carolina-voting-election-hurricane-helene
20/10/2024,US news,‘The ocean doesn’t care what color I am’: Black US surfers reclaim the waters,0.9959,Positive,https://www.theguardian.com/us-news/2024/oct/20/black-surfers-wade-in-the-water-documentary
20/10/2024,US news,University of Toronto’s environment school cuts financial ties to fossil fuels,0.9938,Positive,https://www.theguardian.com/us-news/2024/oct/20/university-toronto-financially-dissociate-fossil-fuels
20/10/2024,US news,Incarcerated Californians can’t vote. A prison held an election anyway,0.9587,Positive,https://www.theguardian.com/us-news/2024/oct/20/incarcerated-vote-prison-mock-election
20/10/2024,US news,A Pennsylvania town is thriving with Haitian immigrants – and is the latest target of Republican hate,0.9749,Positive,https://www.theguardian.com/us-news/2024/oct/20/charleroi-pennsylvania-haitian-immigrants-trump
20/10/2024,US news,Spanish-language hockey announcer reveals he fled death threats in Mexico,-0.833,Negative,https://www.theguardian.com/us-news/2024/oct/20/jesus-lopez-las-vegas-golden-knights
20/10/2024,US news,"Georgia officials ‘blatantly violated’ rights in Cop City case, say protesters",-0.9926,Negative,https://www.theguardian.com/us-news/2024/oct/20/georgia-misconduct-cop-city-protester-case
20/10/2024,US news,Biden’s economic legacy could decide the presidential race in Scranton,0.9938,Positive,https://www.theguardian.com/us-news/2024/oct/20/biden-harris-scranton-pennsylvania-economy
20/10/2024,US news,US presidential election updates: Stars turn out for Harris while Trump tells story about Arnold Palmer’s ‘anatomy’,-0.9728,Negative,https://www.theguardian.com/us-news/2024/oct/20/us-presidential-election-trump-harris-updates
20/10/2024,US news,Harris stresses abortion rights and early voting in packed Atlanta rally,0.9953,Positive,https://www.theguardian.com/us-news/2024/oct/19/harris-abortion-rights-early-voting-atlanta
10/10/2024,US news,Trump demands CBS be stripped of licence over edited Harris interview,-0.997,Negative,https://www.theguardian.com/us-news/2024/oct/10/trump-cbs-license-harris-interview
10/10/2024,US news,Trump insults Detroit during speech … in Detroit,-0.1576,Negative,https://www.theguardian.com/us-news/2024/oct/10/trump-calls-detroit-michigan-mess
10/10/2024,US news,Ethel Kennedy obituary,0.9943,Positive,https://www.theguardian.com/us-news/2024/oct/10/ethel-kennedy-obituary
10/10/2024,US news,Shelter animals cleared from Milton’s path find refuge with animal rescue network,0.9966,Positive,https://www.theguardian.com/us-news/2024/oct/10/hurricane-milton-animals-pets
10/10/2024,US news,Florida hospitals reopening after hurricanes as plans proved largely effective,-0.6761,Negative,https://www.theguardian.com/us-news/2024/oct/10/hurricane-milton-helene-hospitals
10/10/2024,US news,Deaths expected to rise as Florida begins to assess Hurricane Milton destruction,-0.9927,Negative,https://www.theguardian.com/us-news/2024/oct/10/hurricane-milton-aftermath-damage
10/10/2024,US news,Trump plan for Madison Square Garden rally compared to infamous Nazi event,-0.9933,Negative,https://www.theguardian.com/us-news/2024/oct/10/trump-madison-square-garden-rally-nazi-comparison
10/10/2024,US news,FBI returns Monet painting stolen by Nazis to family of the Jewish owners,-0.9821,Negative,https://www.theguardian.com/us-news/2024/oct/10/stolen-claude-monet-painting
10/10/2024,US news,Some Florida residents breathe sigh of relief as they return home: ‘We were very nervous’,-0.985,Negative,https://www.theguardian.com/us-news/2024/oct/10/hurricane-milton-florida-residents
10/10/2024,US news,A visual guide to the damage caused by Hurricane Milton,-0.9872,Negative,https://www.theguardian.com/us-news/2024/oct/10/hurricane-milton-maps-charts-graphics-damage
10/10/2024,US news,"Tornadoes, mass outages and deaths: what to know about Hurricane Milton’s impact",-0.9965,Negative,https://www.theguardian.com/us-news/2024/oct/10/hurricane-milton-what-to-know
10/10/2024,US news,Fulton county brawl with Georgia state election board escalates as election approaches,-0.9063,Negative,https://www.theguardian.com/us-news/2024/oct/10/fulton-county-georgia-election-board
10/10/2024,US news,Russia shares AI images of Hurricane Milton as disinformation abounds in US,-0.9986,Negative,https://www.theguardian.com/us-news/2024/oct/10/russia-ai-hurricane-milton-disinformation
10/10/2024,US news,Far-right site Gateway Pundit settles defamation suit with election workers,-0.9489,Negative,https://www.theguardian.com/us-news/2024/oct/10/gateway-pundit-defamation-lawsuit-election-workers
10/10/2024,US news,Kremlin confirms reports Donald Trump sent Vladimir Putin Covid tests,-0.9037,Negative,https://www.theguardian.com/us-news/2024/oct/10/kremlin-confirms-reports-donald-trump-sent-vladimir-putin-covid-tests
10/10/2024,US news,Can ex-governor’s anti-Trump stance swing key Senate seat for Republicans?,0.9995,Positive,https://www.theguardian.com/us-news/2024/oct/10/maryland-senate-seat-larry-hogan-angela-alsobrooks
10/10/2024,US news,Harris campaign’s record $1bn funds fail to translate into swing state advantage,0.9928,Positive,https://www.theguardian.com/us-news/2024/oct/10/harris-funding-swing-state-concerns
