Date,Section,Title,Sentiment Score,Sentiment Interpretation
23/10/2024,Environment,Bill Maher puts the fate of the Great Barrier Reef in the spotlight – but do the claims stack up? | Temperature Check,-0.9837,Negative
23/10/2024,Environment,‘What the hell is happening’: calls for answers after 10% of Tasmanian salmon die in Macquarie Harbour fish farms,-0.9729,Negative
23/10/2024,Environment,‘We don’t know where the tipping point is’: climate expert on potential collapse of Atlantic circulation,-0.9989,Negative
23/10/2024,Environment,Guardians of the gibbons: inside the Indian village where humans and hoolocks live side by side,-0.7767,Negative
23/10/2024,Environment,"Cop29 host Azerbaijan set for major fossil gas expansion, report says",-0.6919,Negative
23/10/2024,Environment,Mickey the cockatoo is free from his shopping centre prison. Here’s what you do when a bird flies in,0.9957,Positive
23/10/2024,Environment,Country diary: A mystery fish that might remain a mystery | Charlie Elder ,0.9938,Positive
02/10/2024,Environment,"Trip on psychedelics, save the planet: the offbeat solution to the climate crisis",0.9981,Positive
02/10/2024,Environment,Cuddles and drama as live stream shows secret life of ‘ridiculously fluffy’ greater glider,0.9924,Positive
02/10/2024,Environment,Days of the jackal: Canis aureus makes sudden tracks into western Europe,0.9694,Positive
02/10/2024,Environment,Country diary: The last redstart till spring | Mya Bambrick,0.9796,Positive
01/10/2024,Environment,San Francisco sees hottest day of 2024 as heatwave scorches US south-west,-0.926,Negative
01/10/2024,Environment,"No water, no shade. Life as a roofer in the sweltering Florida heat: ‘It feels like 120F’",0.9539,Positive
01/10/2024,Environment,Britain should warm to heat pumps like Sweden | Letter,0.9773,Positive
01/10/2024,Environment,Alpine dingoes at risk of extinction after Victorian government extends right to cull,0.9455,Positive
01/10/2024,Environment,"One in three Australians throwing unwanted clothes in rubbish, survey finds",0.9724,Positive
01/10/2024,Environment,"Country diary: The annual spectacular of noisy, feathered visitors | Rob Schofield",0.9473,Positive
01/10/2024,Environment,"Stretchy dairy cheese now possible without cows, company says",0.9899,Positive
01/10/2024,Environment,"Most soft plastic collected for recycling is burned, campaigners say",0.2144,Positive
01/10/2024,Environment,‘We look to the past to move forward’: the ancient method boosting cuttlefish numbers in the Mediterranean ,0.9966,Positive
01/10/2024,Environment,Botanists identify 33 global ‘dark spots’ with thousands of unknown plants,0.9903,Positive
01/10/2024,Environment,Country diary: The air transformed into eloquence and beauty | Mark Cocker,0.9935,Positive
28/10/2024,Environment,Gerry Foley obituary,0.9584,Positive
28/10/2024,Environment,Hedgehogs ‘near threatened’ on red list after 30% decline over past decade,-0.9847,Negative
28/10/2024,Environment,Whitehaven Coal faces rare shareholder action over mining plans and CEO’s $7m bonus,0.986,Positive
28/10/2024,Environment,"Abandoning Bass Strait oil and gas structures would breach international law, expert warns",0.9852,Positive
28/10/2024,Environment,Stephan Harding obituary,0.9828,Positive
28/10/2024,Environment,Planet-heating pollutants in atmosphere hit record levels in 2023,0.9876,Positive
28/10/2024,Environment,Miscarriages due to climate crisis a ‘blind spot’ in action plans – report,-0.9938,Negative
28/10/2024,Environment,Santos sued by its own shareholder in world-first greenwashing case,0.9772,Positive
28/10/2024,Environment,"Country diary: Under the dripping canopy, variations in green | Elizabeth-Jane Burnett",0.8719,Positive
28/10/2024,Environment,"Pollutants from gas stoves kill 40,000 Europeans each year, report finds",-0.9549,Negative
28/10/2024,Environment,"Carbon emissions of richest 1% increase hunger, poverty and deaths, says Oxfam",-0.7684,Negative
11/10/2024,Environment,Food waste and the horror of discarded pumpkins | Letters,-0.2574,Negative
11/10/2024,Environment,Surrey swimming lake could close amid plan to allow in polluted Thames water,0.9955,Positive
11/10/2024,Environment,Dramatic images show the first floods in the Sahara in half a century,-0.8568,Negative
11/10/2024,Environment,Maggots to the rescue: innovative food waste solution may help wild fish populations too,0.9205,Positive
11/10/2024,Environment,Country diary: The sunflowers are popular on this golden afternoon | Susie White,0.9904,Positive
30/10/2024,Environment,UK farmers: share your views on the changes to inheritance tax,0.8504,Positive
30/10/2024,Environment,‘Wicked problem’: five charts that show how the climate crisis is making Australia more dangerous,-0.9962,Negative
30/10/2024,Environment,‘You can’t shoot climate change’: Richard Seymour on how far right exploits environmental crisis,-0.999,Negative
30/10/2024,Environment,Butterflywatch: Gatekeepers spread north to take up residence in Scotland ,0.9812,Positive
30/10/2024,Environment,"Country diary: Loch and landfill, cheek by jowl | Kirsteen Bell",0.9225,Positive
30/10/2024,Environment,Budget cuts mean farmers in England ‘must do more with less’,0.9957,Positive
30/10/2024,Environment,The world needs $700bn a year to restore nature. But where is the money coming from?,-0.2669,Negative
30/10/2024,Environment,"Record levels of heat-related deaths in 2023 due to climate crisis, report finds",-0.9888,Negative
16/10/2024,Environment,Global water crisis leaves half of world food production at risk in next 25 years,-0.7508,Negative
16/10/2024,Environment,Microplastics found in dolphin breath for first time – study,-0.9738,Negative
16/10/2024,Environment,Anti-whaling activist held in Greenland appeals for political asylum in France,-0.9423,Negative
16/10/2024,Environment,‘Access to food is not the problem’: new orca study deepens mystery behind endangerment,-0.9966,Negative
16/10/2024,Environment,"Regent honeyeaters have ditched their typical tune for a shorter, simpler song. Why?",0.9848,Positive
16/10/2024,Environment,Fungi could be given same status as flora and fauna under conservation plan,0.9905,Positive
16/10/2024,Environment,Lula and Petro have the chance of a lifetime to save the Amazon. Can they unite idealism and realpolitik to pull it off?,0.9959,Positive
16/10/2024,Environment,"Coalition pledge to subsidise Australia’s most expensive form of energy makes ‘no sense’, Labor says",0.9869,Positive
16/10/2024,Environment,English homes ‘face decades of high bills and emissions’ without urgent action from ministers,0.9947,Positive
16/10/2024,Environment,"Fossil fuels could become cheaper and more abundant, says IEA",0.8472,Positive
16/10/2024,Environment,"Country diary: Live fast, die young – that’s the weasel way | Derek Niemann",-0.8848,Negative
21/10/2024,Environment,‘Forever chemicals’ outlast any government – all the more reason for dealing with them now | Letters,0.6757,Positive
21/10/2024,Environment,TfL could be forced to pay millions over Dutch lorry drivers’ low emission zone fines,0.3612,Positive
21/10/2024,Environment,Cop16 at a glance: the big issues that will define talks at Colombia’s UN summit,0.9976,Positive
21/10/2024,Environment,"Humanity is on the verge of ‘shattering Earth’s natural limits’, say experts in biodiversity warning",-0.9957,Negative
21/10/2024,Environment,UK rivers contain ‘cocktail of chemicals and stimulants’ endangering aquatic life,-0.9765,Negative
21/10/2024,Environment,"Country diary: The last warm day of the year, and the woodland is changing | Kate Blincoe",0.986,Positive
12/10/2024,Environment,"Stop pushing heat pumps or face major backlash, green energy magnate tells Labour",0.9905,Positive
12/10/2024,Environment,Hamza Yassin: ‘I hang my pyjamas in the forest so the animals get used to my scent’,0.9755,Positive
12/10/2024,Environment,"Country diary: ‘Your need greater than mine,’ I murmur to the dotterels | Jim Perrin",0.9917,Positive
14/10/2024,Environment,UK ‘risks repeat of surging energy bills’ amid continued reliance on gas,0.7134,Positive
14/10/2024,Environment,New evidence says gas exports damage the climate even more than coal. It’s time Australia took serious action | Adam Morton,0.9007,Positive
14/10/2024,Environment,"Only one-third of Europe’s surface water qualifies as good or better, study finds",0.9877,Positive
14/10/2024,Environment,‘Wavy’ jet stream to bring warm weather to north-west Europe,0.2991,Positive
14/10/2024,Environment,A red-lipped batfish: is there anything creepier? | Helen Sullivan,0.8512,Positive
14/10/2024,Environment,Trees and land absorbed almost no CO2 last year. Is nature’s carbon sink failing?,0.979,Positive
14/10/2024,Environment,"Country diary: When you’re watching the aurora unfold, even a blink is too long | Amy-Jane Beer",0.3724,Positive
14/10/2024,Environment,Shooters to target feral cats in NSW national parks amid boom in population,0.969,Positive
09/10/2024,Environment,Foreign aid for fossil fuel projects quadrupled in a single year,0.9575,Positive
09/10/2024,Environment,Unfair comparison on UK heat pumps | Brief letters,-0.8485,Negative
09/10/2024,Environment,English water system singled out for criticism by UN special rapporteur,-0.8957,Negative
09/10/2024,Environment,Andrew Forrest says net zero is ‘fantasy’ so his goal is ‘real zero’. What does he mean – and can he achieve it? | Temperature Check,0.9894,Positive
09/10/2024,Environment,"Europe was a leader on saving nature. Now, its backsliding could threaten global progress",0.9956,Positive
09/10/2024,Environment,Anger over ‘bonkers’ UK plan to reach net zero by importing wood to burn,0.9904,Positive
09/10/2024,Environment,"Global heating makes hurricanes like Helene twice as likely, data shows",0.7291,Positive
09/10/2024,Environment,China to head green energy boom with 60% of new projects in next six years,0.9917,Positive
09/10/2024,Environment,Birdwatch: a mesmerising Costa Rican encounter with the sunbittern,0.8052,Positive
09/10/2024,Environment,‘A huge loss’: is it the end for the ship that helped us understand life on Earth?,-0.973,Negative
09/10/2024,Environment,"Country diary: An autumnal netherworld of galls, blisters and lesions | Nic Wilson",0.9127,Positive
