Section Name,Date,Web Title,Web URL
World news,25/10/2024,Friday briefing: The Commonwealth summit that could put reparations ‘on the table’,https://www.theguardian.com/world/2024/oct/25/first-edition-commonwealth-chogm-reparations
US news,19/10/2024,Paul Whelan credits Brittney Griner for ‘great help’ in his release from Russia,https://www.theguardian.com/us-news/2024/oct/19/paul-whelan-brittney-griner-russian-captivity
UK news,19/10/2024,Book returned to Cumbria school library 113 years overdue,https://www.theguardian.com/uk-news/2024/oct/19/book-returned-to-cumbria-school-library-113-years-overdue
World news,07/10/2024,World leaders mark first anniversary of 7 October attack on Israel,https://www.theguardian.com/world/2024/oct/07/world-leaders-first-anniversary-7-october-hamas-attack-israel
Football,07/10/2024,Paulo Gazzaniga’s historic hat-trick leaves Athletic to pay the penalty | Sid Lowe,https://www.theguardian.com/football/blog/2024/oct/07/paulo-gazzaniga-historic-hat-trick-penalty-saves-girona-athletic-la-liga
Books,07/10/2024,The big idea: should we be thinking about luck differently?,https://www.theguardian.com/books/2024/oct/07/the-big-idea-should-we-be-thinking-about-luck-differently
Opinion,07/10/2024,Donald Trump’s Hitlerian logic is no mistake | Sidney Blumenthal,https://www.theguardian.com/commentisfree/2024/oct/07/donald-trumps-hitlerian-logic-is-no-mistake
Environment,07/10/2024,Weather tracker: tail end of Hurricane Kirk to bring gusts and rain to Europe,https://www.theguardian.com/environment/2024/oct/07/weather-tracker-tail-end-of-hurricane-kirk-to-bring-gusts-and-rain-to-europe
Football,07/10/2024,"Farewell Antoine Griezmann, only now will France discover you were irreplaceable | Philippe Auclair",https://www.theguardian.com/football/2024/oct/07/farewell-antoine-griezmann-only-now-will-france-discover-you-were-irreplaceable
World news,06/10/2024,"Irregular migration into UK and large European countries is same as 2008, research shows",https://www.theguardian.com/world/2024/oct/07/irregular-migration-into-uk-and-large-european-countries-is-same-as-2008-research-shows
World news,23/10/2024,Putin calls for alternative international payment system at Brics summit,https://www.theguardian.com/world/2024/oct/23/putin-world-economy-bloc-brics-summit
Travel,23/10/2024,Really going Dutch: why I chose The Hague and Delft over Amsterdam,https://www.theguardian.com/travel/2024/oct/23/why-i-chose-the-hague-and-delft-over-amsterdam-netherlands
World news,30/10/2024,At least 95 people dead in Spain’s worst floods in three decades,https://www.theguardian.com/world/2024/oct/30/spain-floods-torrential-rain-deaths
UK news,30/10/2024,Push for black and Asian soldiers’ input in world wars to be taught in UK schools,https://www.theguardian.com/uk-news/2024/oct/30/push-black-asian-soldiers-input-world-wars-taught-uk-schools
World news,30/10/2024,What happened to Bhutan’s ‘kingdom of happiness’?,https://www.theguardian.com/world/2024/oct/30/bhutan-what-happened-to-the-kingdom-of-happiness
Football,16/10/2024,Thomas Tuchel is intense but England players will love his pure coaching | Jacob Steinberg,https://www.theguardian.com/football/2024/oct/16/thomas-tuchel-england-manager-chelsea-tactics
Television & radio,16/10/2024,"Beyond Black Beauty review – this reboot of a classic is clumsy, insipid … and hard to hate",https://www.theguardian.com/tv-and-radio/2024/oct/16/beyond-black-beauty-review-reboot-prime-video
Society,16/10/2024,What is the background to the MPs’ vote on assisted dying?,https://www.theguardian.com/society/2024/oct/16/what-is-the-background-to-the-mps-vote-on-assisted-dying
World news,21/10/2024,"Smoke pollution from wildfires may be killing an extra 12,000 people a year, new research suggests",https://www.theguardian.com/environment/2024/oct/22/smoke-pollution-from-wildfires-may-be-killing-an-extra-12000-people-a-year-new-research-suggests
Football,21/10/2024,‘Lethal’ Retegui is leading reshaped Atalanta … and Serie A’s scoring charts | Nicky Bandini,https://www.theguardian.com/football/blog/2024/oct/21/mateo-retegui-atalanta-serie-a
Environment,21/10/2024,TfL could be forced to pay millions over Dutch lorry drivers’ low emission zone fines,https://www.theguardian.com/environment/2024/oct/21/tfl-could-be-forced-to-pay-millions-over-dutch-lorry-drivers-low-emission-zone-fines
World news,12/10/2024,Monster pickup trucks accelerate into Europe as sales rise despite safety fears,https://www.theguardian.com/world/2024/oct/12/monster-pickup-trucks-accelerate-europe-sales-rise-safety-fears
Football,14/10/2024,Kolo Muani double gives France victory over Belgium despite Tchouaméni red,https://www.theguardian.com/football/2024/oct/14/belgium-france-nations-league-match-report
Australia news,14/10/2024,"Morning Mail: Labor to axe debit card fees, survey exposes unsafe toys, Trump unleashes on biopic",https://www.theguardian.com/australia-news/2024/oct/15/morning-mail-tuesday-ntwnfb
Football,14/10/2024,Europe’s leagues and Fifpro accuse Fifa of ‘abusive and anti-competitive’ acts,https://www.theguardian.com/football/2024/oct/14/european-leagues-fifpro-la-liga-accuse-fifa-abusive-and-anti-competitive-conduct
Football,14/10/2024,Football Daily | France in a flap again as Deschamps ponders Butterfly Effect,https://www.theguardian.com/football/2024/oct/14/france-in-a-flap-didier-deschamps-butterfly-effect-football-daily
Football,14/10/2024,How likely is it that footballers will strike over their workload? | Jonathan Wilson,https://www.theguardian.com/football/2024/oct/14/football-players-strike-workload
Global development,14/10/2024,Europe’s medical schools to give more training on diseases linked to climate crisis,https://www.theguardian.com/global-development/2024/oct/14/european-network-climate-health-education-medical-schools-diseases-students-dengue-malaria-heatstroke
Football,09/10/2024,Stones ready to captain England despite Manchester City frustrations,https://www.theguardian.com/football/2024/oct/09/england-john-stones-lee-carsley-greece-finland-wembley
Environment,09/10/2024,China to head green energy boom with 60% of new projects in next six years,https://www.theguardian.com/environment/2024/oct/09/china-to-head-green-energy-boom-with-60-of-new-projects-in-next-six-years
